##################################################
         Track rate for each run number           
##################################################
runnum :290756 , # of tracks :25391     , track rates :2.33      
runnum :290139 , # of tracks :1205      , track rates :2.46      
runnum :292077 , # of tracks :153       , track rates :2.55      
runnum :292473 , # of tracks :103       , track rates :3.87      
runnum :290792 , # of tracks :2328      , track rates :2.63      
runnum :291425 , # of tracks :172       , track rates :3.07      
runnum :291850 , # of tracks :35965     , track rates :2.63      
runnum :290336 , # of tracks :16592     , track rates :2.49      
runnum :292154 , # of tracks :37383     , track rates :1.72      
runnum :290825 , # of tracks :6685      , track rates :2.54      
runnum :291953 , # of tracks :3337      , track rates :2.72      
runnum :291685 , # of tracks :4981      , track rates :1.10      
runnum :290348 , # of tracks :20740     , track rates :2.48      
runnum :291883 , # of tracks :77        , track rates :0.45      
runnum :292283 , # of tracks :54481     , track rates :1.86      
runnum :291808 , # of tracks :476       , track rates :0.37      
runnum :292080 , # of tracks :59773     , track rates :2.42      
runnum :292595 , # of tracks :4268      , track rates :2.75      
runnum :291622 , # of tracks :59008     , track rates :2.43      
runnum :292605 , # of tracks :1790      , track rates :2.50      
runnum :292717 , # of tracks :4426      , track rates :2.42      
runnum :290498 , # of tracks :88        , track rates :3.20      
runnum :290966 , # of tracks :16637     , track rates :2.47      
runnum :290797 , # of tracks :6231      , track rates :2.57      
runnum :291317 , # of tracks :21214     , track rates :2.71      
runnum :290163 , # of tracks :122       , track rates :0.58      
runnum :291975 , # of tracks :5245      , track rates :2.49      
runnum :290960 , # of tracks :2200      , track rates :2.64      
runnum :290617 , # of tracks :15257     , track rates :1.56      
runnum :291218 , # of tracks :1278      , track rates :2.55      
runnum :291618 , # of tracks :81        , track rates :2.19      
runnum :292244 , # of tracks :6725      , track rates :2.68      
runnum :292505 , # of tracks :216       , track rates :0.19      
runnum :292279 , # of tracks :2840      , track rates :2.50      
runnum :291881 , # of tracks :33991     , track rates :1.52      
runnum :292320 , # of tracks :2690      , track rates :2.51      
runnum :290129 , # of tracks :2627      , track rates :2.51      
runnum :292216 , # of tracks :1751      , track rates :2.42      
runnum :292498 , # of tracks :1684      , track rates :0.27      
runnum :290124 , # of tracks :2647      , track rates :2.48      
runnum :290964 , # of tracks :665       , track rates :2.52      
runnum :291668 , # of tracks :834       , track rates :2.60      
runnum :292362 , # of tracks :8823      , track rates :2.76      
runnum :292363 , # of tracks :3066      , track rates :2.75      
runnum :290356 , # of tracks :2738      , track rates :2.41      
runnum :291683 , # of tracks :15329     , track rates :2.74      
runnum :290954 , # of tracks :2345      , track rates :2.52      
runnum :291313 , # of tracks :1344      , track rates :0.29      
runnum :291798 , # of tracks :2073      , track rates :2.81      
runnum :291965 , # of tracks :820       , track rates :2.46      
runnum :292464 , # of tracks :68        , track rates :2.81      
runnum :291320 , # of tracks :29453     , track rates :2.76      
runnum :290351 , # of tracks :50828     , track rates :2.52      
runnum :292199 , # of tracks :9065      , track rates :2.49      
runnum :291619 , # of tracks :109       , track rates :5.07      
runnum :291837 , # of tracks :3078      , track rates :2.49      
runnum :293105 , # of tracks :9574      , track rates :2.52      
runnum :292038 , # of tracks :6565      , track rates :2.66      
runnum :291620 , # of tracks :19132     , track rates :2.61      
runnum :291836 , # of tracks :7568      , track rates :2.63      
runnum :291881 , # of tracks :59428     , track rates :1.56      
runnum :292358 , # of tracks :11643     , track rates :2.57      
runnum :292322 , # of tracks :7463      , track rates :2.52      
runnum :291926 , # of tracks :1394      , track rates :2.58      
runnum :290820 , # of tracks :33593     , track rates :2.52      
runnum :290180 , # of tracks :651       , track rates :2.50      
runnum :291385 , # of tracks :43946     , track rates :1.82      
runnum :291841 , # of tracks :51874     , track rates :2.56      
runnum :290741 , # of tracks :3641      , track rates :2.49      
runnum :291869 , # of tracks :12456     , track rates :2.75      
runnum :292466 , # of tracks :119       , track rates :3.20      
runnum :291113 , # of tracks :49356     , track rates :2.33      
runnum :292361 , # of tracks :4026      , track rates :2.75      
runnum :290342 , # of tracks :5121      , track rates :2.54      
runnum :290913 , # of tracks :4126      , track rates :2.41      
runnum :292328 , # of tracks :7318      , track rates :2.53      
runnum :292465 , # of tracks :121       , track rates :3.99      
runnum :291890 , # of tracks :35        , track rates :0.31      
runnum :292708 , # of tracks :1923      , track rates :0.19      
runnum :292720 , # of tracks :4863      , track rates :2.49      
runnum :292222 , # of tracks :779       , track rates :2.44      
runnum :291949 , # of tracks :63        , track rates :4.61      
runnum :292546 , # of tracks :9433      , track rates :1.92      
runnum :292290 , # of tracks :17448     , track rates :2.56      
runnum :292193 , # of tracks :5203      , track rates :2.45      
runnum :292502 , # of tracks :450       , track rates :0.19      
runnum :290956 , # of tracks :11958     , track rates :2.48      
runnum :290742 , # of tracks :6407      , track rates :2.57      
runnum :291347 , # of tracks :9270      , track rates :2.54      
runnum :291781 , # of tracks :39957     , track rates :1.75      
runnum :291340 , # of tracks :59996     , track rates :1.50      
runnum :291912 , # of tracks :5884      , track rates :2.50      
runnum :292461 , # of tracks :99        , track rates :4.63      
runnum :292540 , # of tracks :2465      , track rates :2.44      
runnum :292472 , # of tracks :110       , track rates :3.66      
runnum :290499 , # of tracks :1438      , track rates :2.44      
runnum :291681 , # of tracks :1180      , track rates :2.65      
runnum :292630 , # of tracks :3705      , track rates :2.48      
runnum :291867 , # of tracks :59946     , track rates :1.90      
runnum :290340 , # of tracks :10306     , track rates :2.52      
runnum :292719 , # of tracks :4298      , track rates :2.30      
runnum :292321 , # of tracks :1604      , track rates :2.63      
runnum :291952 , # of tracks :11032     , track rates :2.70      
runnum :292285 , # of tracks :15743     , track rates :2.55      
runnum :292467 , # of tracks :219       , track rates :3.01      
runnum :291891 , # of tracks :327       , track rates :0.32      
runnum :290502 , # of tracks :7378      , track rates :2.49      
runnum :292579 , # of tracks :56        , track rates :3.35      
runnum :291877 , # of tracks :7156      , track rates :2.50      
runnum :291647 , # of tracks :7734      , track rates :2.66      
runnum :291310 , # of tracks :244       , track rates :0.27      
runnum :292596 , # of tracks :5491      , track rates :2.47      
runnum :292225 , # of tracks :4687      , track rates :2.72      
runnum :292158 , # of tracks :867       , track rates :2.75      
runnum :290910 , # of tracks :50526     , track rates :2.49      
runnum :290788 , # of tracks :817       , track rates :2.74      
runnum :292253 , # of tracks :1923      , track rates :2.66      
runnum :290908 , # of tracks :38517     , track rates :2.48      
runnum :292048 , # of tracks :2227      , track rates :2.85      
runnum :292538 , # of tracks :298       , track rates :2.81      
runnum :291615 , # of tracks :2626      , track rates :2.62      
runnum :291840 , # of tracks :33536     , track rates :2.51      
runnum :290198 , # of tracks :59578     , track rates :1.75      
runnum :291672 , # of tracks :9887      , track rates :2.80      
runnum :292458 , # of tracks :138       , track rates :3.33      
runnum :292081 , # of tracks :7461      , track rates :2.71      
runnum :292274 , # of tracks :5267      , track rates :2.54      
runnum :292068 , # of tracks :3015      , track rates :2.78      
runnum :292365 , # of tracks :14763     , track rates :2.80      
runnum :292249 , # of tracks :20795     , track rates :2.47      
runnum :292490 , # of tracks :3768      , track rates :2.68      
runnum :292256 , # of tracks :8261      , track rates :2.55      
runnum :290824 , # of tracks :5960      , track rates :2.55      
runnum :292525 , # of tracks :73        , track rates :0.18      
runnum :292357 , # of tracks :6446      , track rates :2.59      
runnum :291895 , # of tracks :7722      , track rates :2.51      
runnum :291244 , # of tracks :3236      , track rates :2.51      
