##################################################
         Track rate for each run number           
##################################################
runnum :308335 , # of tracks :0         , track rates :0.00      
runnum :308394 , # of tracks :999       , track rates :1.34      
runnum :308397 , # of tracks :2997      , track rates :2.19      
runnum :308404 , # of tracks :2354      , track rates :2.32      
runnum :308406 , # of tracks :2271      , track rates :2.31      
runnum :308409 , # of tracks :493477    , track rates :2.25      
runnum :309171 , # of tracks :13763     , track rates :2.38      
runnum :309232 , # of tracks :9632      , track rates :2.34      
runnum :309244 , # of tracks :430       , track rates :2.67      
runnum :309245 , # of tracks :14475     , track rates :2.34      
runnum :309246 , # of tracks :9555      , track rates :2.36      
runnum :309247 , # of tracks :79427     , track rates :2.31      
runnum :310900 , # of tracks :890       , track rates :0.48      
runnum :310909 , # of tracks :880       , track rates :2.34      
runnum :310912 , # of tracks :1982      , track rates :2.28      
runnum :310928 , # of tracks :7         , track rates :0.01      
runnum :310934 , # of tracks :38        , track rates :0.01      
runnum :310958 , # of tracks :14        , track rates :0.01      
runnum :310979 , # of tracks :9211      , track rates :2.32      
runnum :310990 , # of tracks :1281      , track rates :2.39      
runnum :310993 , # of tracks :7657      , track rates :2.34      
runnum :311013 , # of tracks :5276      , track rates :2.39      
runnum :311024 , # of tracks :88279     , track rates :2.31      
runnum :311027 , # of tracks :13789     , track rates :2.33      
runnum :311030 , # of tracks :4615      , track rates :2.02      
runnum :311032 , # of tracks :578       , track rates :0.44      
runnum :311033 , # of tracks :5298      , track rates :2.25      
runnum :311036 , # of tracks :23130     , track rates :2.32      
runnum :311045 , # of tracks :700       , track rates :2.31      
runnum :311058 , # of tracks :17628     , track rates :2.33      
runnum :311085 , # of tracks :5710      , track rates :2.32      
runnum :311087 , # of tracks :836       , track rates :2.37      
runnum :311088 , # of tracks :6936      , track rates :2.37      
runnum :311091 , # of tracks :1097      , track rates :2.51      
runnum :311092 , # of tracks :1080      , track rates :2.26      
runnum :311093 , # of tracks :131       , track rates :2.73      
runnum :311094 , # of tracks :84221     , track rates :2.28      
runnum :311095 , # of tracks :874       , track rates :2.41      
runnum :311096 , # of tracks :1413      , track rates :2.27      
runnum :311097 , # of tracks :4483      , track rates :2.29      
runnum :311098 , # of tracks :6539      , track rates :2.33      
runnum :311114 , # of tracks :9337      , track rates :2.34      
runnum :311116 , # of tracks :12042     , track rates :2.31      
runnum :311135 , # of tracks :3914      , track rates :2.38      
runnum :311189 , # of tracks :1277      , track rates :2.39      
runnum :311192 , # of tracks :2140      , track rates :2.38      
runnum :311195 , # of tracks :1341      , track rates :2.40      
runnum :311223 , # of tracks :201       , track rates :2.39      
runnum :311227 , # of tracks :6277      , track rates :2.30      
runnum :311240 , # of tracks :76258     , track rates :1.90      
runnum :311263 , # of tracks :4917      , track rates :2.17      
runnum :311282 , # of tracks :263       , track rates :2.29      
runnum :311292 , # of tracks :519       , track rates :2.22      
runnum :311296 , # of tracks :5039      , track rates :2.29      
runnum :311309 , # of tracks :2889      , track rates :2.31      
runnum :311320 , # of tracks :369       , track rates :2.78      
runnum :311321 , # of tracks :3321      , track rates :2.34      
runnum :311326 , # of tracks :14670     , track rates :2.25      
runnum :311356 , # of tracks :79        , track rates :3.16      
runnum :311359 , # of tracks :9921      , track rates :2.29      
runnum :311368 , # of tracks :15960     , track rates :2.09      
runnum :311372 , # of tracks :3550      , track rates :2.07      
runnum :311373 , # of tracks :4823      , track rates :2.05      
runnum :311374 , # of tracks :57966     , track rates :2.04      
runnum :311375 , # of tracks :2193      , track rates :2.08      
runnum :311377 , # of tracks :235       , track rates :2.45      
runnum :311379 , # of tracks :12548     , track rates :2.10      
runnum :311407 , # of tracks :16294     , track rates :2.12      
runnum :311446 , # of tracks :5365      , track rates :2.12      
runnum :311447 , # of tracks :3304      , track rates :2.08      
runnum :311450 , # of tracks :87030     , track rates :2.16      
runnum :311452 , # of tracks :16585     , track rates :2.23      
runnum :311461 , # of tracks :1633      , track rates :2.09      
runnum :311463 , # of tracks :2491      , track rates :1.75      
runnum :311469 , # of tracks :4430      , track rates :2.00      
runnum :311479 , # of tracks :5338      , track rates :2.02      
runnum :311483 , # of tracks :41558     , track rates :1.99      
runnum :311511 , # of tracks :8175      , track rates :2.35      
runnum :311515 , # of tracks :496       , track rates :2.13      
