##################################################
         Track rate for each run number           
##################################################
runnum :311811 , # of tracks :126       , track rates :0.14      
runnum :314781 , # of tracks :3855      , track rates :2.43      
runnum :311114 , # of tracks :9337      , track rates :2.34      
runnum :311087 , # of tracks :836       , track rates :2.37      
runnum :312059 , # of tracks :2798      , track rates :2.24      
runnum :311030 , # of tracks :4615      , track rates :2.02      
runnum :311537 , # of tracks :6120      , track rates :2.40      
runnum :312697 , # of tracks :1007      , track rates :2.57      
runnum :311227 , # of tracks :6277      , track rates :2.30      
runnum :311983 , # of tracks :876       , track rates :2.29      
runnum :312457 , # of tracks :11364     , track rates :2.33      
runnum :311534 , # of tracks :241       , track rates :2.72      
runnum :312232 , # of tracks :384       , track rates :0.18      
runnum :311223 , # of tracks :201       , track rates :2.39      
runnum :311989 , # of tracks :62        , track rates :2.56      
runnum :313128 , # of tracks :1         , track rates :3.69      
runnum :314600 , # of tracks :11143     , track rates :2.50      
runnum :312432 , # of tracks :87371     , track rates :2.42      
runnum :312001 , # of tracks :74368     , track rates :2.44      
runnum :311093 , # of tracks :131       , track rates :2.73      
runnum :312670 , # of tracks :426       , track rates :2.44      
runnum :311526 , # of tracks :28331     , track rates :2.21      
runnum :311650 , # of tracks :3701      , track rates :2.24      
runnum :312518 , # of tracks :332       , track rates :2.13      
runnum :312280 , # of tracks :9037      , track rates :1.25      
runnum :311292 , # of tracks :519       , track rates :2.22      
runnum :310934 , # of tracks :38        , track rates :0.01      
runnum :312219 , # of tracks :10316     , track rates :2.47      
runnum :311240 , # of tracks :76258     , track rates :1.90      
runnum :312658 , # of tracks :10840     , track rates :2.45      
runnum :312149 , # of tracks :365       , track rates :2.61      
runnum :311785 , # of tracks :2806      , track rates :2.35      
runnum :311452 , # of tracks :16585     , track rates :2.23      
runnum :311097 , # of tracks :4483      , track rates :2.29      
runnum :311321 , # of tracks :3321      , track rates :2.34      
runnum :309244 , # of tracks :430       , track rates :2.67      
runnum :311536 , # of tracks :1011      , track rates :2.36      
runnum :311957 , # of tracks :10208     , track rates :1.83      
runnum :310979 , # of tracks :9211      , track rates :2.32      
runnum :311092 , # of tracks :1080      , track rates :2.26      
runnum :311789 , # of tracks :1168      , track rates :2.34      
runnum :311649 , # of tracks :593       , track rates :2.29      
runnum :312418 , # of tracks :589       , track rates :2.54      
runnum :310990 , # of tracks :1281      , track rates :2.39      
runnum :312302 , # of tracks :9754      , track rates :2.45      
runnum :312533 , # of tracks :9235      , track rates :2.44      
runnum :311461 , # of tracks :1633      , track rates :2.09      
runnum :311463 , # of tracks :2491      , track rates :1.75      
runnum :311822 , # of tracks :251       , track rates :0.14      
runnum :311802 , # of tracks :508       , track rates :0.15      
runnum :312479 , # of tracks :3411      , track rates :2.29      
runnum :308409 , # of tracks :493477    , track rates :2.25      
runnum :311522 , # of tracks :4231      , track rates :2.34      
runnum :311263 , # of tracks :4917      , track rates :2.17      
runnum :311663 , # of tracks :1105      , track rates :2.18      
runnum :311373 , # of tracks :4823      , track rates :2.05      
runnum :311531 , # of tracks :34315     , track rates :2.36      
runnum :312101 , # of tracks :111961    , track rates :2.43      
runnum :311882 , # of tracks :2436      , track rates :2.46      
runnum :312439 , # of tracks :1419      , track rates :2.29      
runnum :312676 , # of tracks :47        , track rates :0.35      
runnum :313913 , # of tracks :889       , track rates :2.53      
runnum :311095 , # of tracks :874       , track rates :2.41      
runnum :311677 , # of tracks :4470      , track rates :2.48      
runnum :313759 , # of tracks :21396     , track rates :2.68      
runnum :312136 , # of tracks :1392      , track rates :2.55      
runnum :311192 , # of tracks :2140      , track rates :2.38      
runnum :311359 , # of tracks :9921      , track rates :2.29      
runnum :312005 , # of tracks :755       , track rates :0.29      
runnum :310900 , # of tracks :890       , track rates :0.48      
runnum :312050 , # of tracks :13996     , track rates :2.25      
runnum :312527 , # of tracks :5505      , track rates :1.13      
runnum :312431 , # of tracks :1252      , track rates :2.40      
runnum :313910 , # of tracks :2592      , track rates :2.48      
runnum :311309 , # of tracks :2889      , track rates :2.31      
runnum :311529 , # of tracks :6425      , track rates :2.25      
runnum :313182 , # of tracks :6360      , track rates :2.73      
runnum :314883 , # of tracks :4854      , track rates :2.39      
runnum :311808 , # of tracks :124       , track rates :0.15      
runnum :312713 , # of tracks :7015      , track rates :2.52      
runnum :312691 , # of tracks :7320      , track rates :2.53      
runnum :311446 , # of tracks :5365      , track rates :2.12      
runnum :312172 , # of tracks :586       , track rates :2.57      
runnum :312429 , # of tracks :10337     , track rates :2.45      
runnum :315116 , # of tracks :1518      , track rates :1.08      
runnum :312645 , # of tracks :183       , track rates :3.34      
runnum :313126 , # of tracks :10263     , track rates :2.67      
runnum :311027 , # of tracks :13789     , track rates :2.33      
runnum :311356 , # of tracks :79        , track rates :3.16      
runnum :311879 , # of tracks :85845     , track rates :2.44      
runnum :311379 , # of tracks :12548     , track rates :2.10      
runnum :312532 , # of tracks :76        , track rates :5.04      
runnum :312669 , # of tracks :756       , track rates :1.13      
runnum :312726 , # of tracks :16374     , track rates :2.60      
runnum :314606 , # of tracks :1607      , track rates :2.59      
runnum :312693 , # of tracks :1856      , track rates :2.56      
runnum :311800 , # of tracks :6391      , track rates :2.28      
runnum :311678 , # of tracks :7256      , track rates :2.38      
runnum :311116 , # of tracks :12042     , track rates :2.31      
runnum :312225 , # of tracks :10969     , track rates :2.47      
runnum :309245 , # of tracks :14475     , track rates :2.34      
runnum :313183 , # of tracks :443       , track rates :0.43      
runnum :314577 , # of tracks :9382      , track rates :2.43      
runnum :312692 , # of tracks :12153     , track rates :2.52      
runnum :311372 , # of tracks :3550      , track rates :2.07      
runnum :313129 , # of tracks :21        , track rates :0.12      
runnum :312141 , # of tracks :68522     , track rates :2.41      
runnum :312646 , # of tracks :221       , track rates :2.41      
runnum :312712 , # of tracks :104729    , track rates :2.49      
runnum :308335 , # of tracks :0         , track rates :0.00      
runnum :313084 , # of tracks :11542     , track rates :2.80      
runnum :312061 , # of tracks :5350      , track rates :2.28      
runnum :311696 , # of tracks :3454      , track rates :2.37      
runnum :312430 , # of tracks :3904      , track rates :2.54      
runnum :311479 , # of tracks :5338      , track rates :2.02      
runnum :312455 , # of tracks :2225      , track rates :2.30      
runnum :312002 , # of tracks :6012      , track rates :2.35      
runnum :308397 , # of tracks :2997      , track rates :2.19      
runnum :312711 , # of tracks :38948     , track rates :2.50      
runnum :312440 , # of tracks :1169      , track rates :2.32      
runnum :312535 , # of tracks :94452     , track rates :2.45      
runnum :314850 , # of tracks :898       , track rates :0.21      
runnum :311651 , # of tracks :46175     , track rates :2.19      
runnum :312096 , # of tracks :1277      , track rates :2.49      
runnum :313125 , # of tracks :8880      , track rates :2.72      
runnum :308394 , # of tracks :999       , track rates :1.34      
runnum :312150 , # of tracks :55        , track rates :3.20      
runnum :312081 , # of tracks :1258      , track rates :2.32      
runnum :311580 , # of tracks :1507      , track rates :0.14      
runnum :309171 , # of tracks :13763     , track rates :2.38      
runnum :311994 , # of tracks :3300      , track rates :2.41      
runnum :311085 , # of tracks :5710      , track rates :2.32      
runnum :312174 , # of tracks :3016      , track rates :2.26      
runnum :311094 , # of tracks :84221     , track rates :2.28      
runnum :311450 , # of tracks :87030     , track rates :2.16      
runnum :311189 , # of tracks :1277      , track rates :2.39      
runnum :314778 , # of tracks :1794      , track rates :2.49      
runnum :311045 , # of tracks :700       , track rates :2.31      
runnum :311088 , # of tracks :6936      , track rates :2.37      
runnum :311013 , # of tracks :5276      , track rates :2.39      
runnum :312534 , # of tracks :3634      , track rates :2.47      
runnum :311662 , # of tracks :4236      , track rates :2.08      
runnum :311688 , # of tracks :3247      , track rates :2.47      
runnum :311326 , # of tracks :14670     , track rates :2.25      
runnum :312701 , # of tracks :11224     , track rates :2.56      
runnum :312847 , # of tracks :1304      , track rates :2.35      
runnum :312220 , # of tracks :94657     , track rates :2.47      
runnum :312099 , # of tracks :4314      , track rates :2.41      
runnum :311033 , # of tracks :5298      , track rates :2.25      
runnum :312227 , # of tracks :7270      , track rates :2.52      
runnum :313052 , # of tracks :9720      , track rates :2.48      
runnum :313105 , # of tracks :111670    , track rates :2.68      
runnum :309247 , # of tracks :79427     , track rates :2.31      
runnum :315089 , # of tracks :4         , track rates :0.00      
runnum :312105 , # of tracks :248824    , track rates :2.43      
runnum :312538 , # of tracks :6533      , track rates :2.49      
runnum :312725 , # of tracks :67144     , track rates :2.62      
runnum :312848 , # of tracks :4273      , track rates :2.50      
runnum :314539 , # of tracks :2         , track rates :0.00      
runnum :312434 , # of tracks :13198     , track rates :2.49      
